student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,past_exams (-0.07),grade_trend (-0.05),practice_intensity (-0.05),overall_islamia (+1.19),proofs_awareness (+0.11),structured_answer (+0.08),16.0,15.784583333333332
1,structured_answer (-0.06),fiqh_ibadah (-0.03),grade_trend (-0.02),overall_islamia (+4.39),aqida_understanding (+0.08),analysis_composite (+0.03),19.6,19.266429545454542
2,overall_islamia (-0.56),structured_answer (-0.04),grade_t2 (-0.03),reasoning_from_verses (+0.06),hadith_text_analysis (+0.05),avg_grade (+0.03),14.0,14.084605529301566
3,overall_islamia (-0.84),structured_answer (-0.06),grade_t2 (-0.05),aqida_understanding (+0.06),fiqh_muamalat (+0.03),practice_intensity (+0.03),14.0,13.53391723635351
4,overall_islamia (-1.63),aqida_understanding (-0.11),past_exams (-0.08),fiqh_ibadah (+0.03),fiqh_composite (+0.02),grade_t3 (+0.02),13.3,12.5221679712128
5,evidence_usage (-0.12),fiqh_ibadah (-0.06),ayah_analysis (-0.05),overall_islamia (+3.19),structured_answer (+0.08),avg_grade (+0.08),17.8,17.847018560606056
6,past_exams (-0.07),structured_answer (-0.07),practice_intensity (-0.07),overall_islamia (+2.74),grade_t2 (+0.13),avg_grade (+0.12),17.9,17.61671111111112
7,overall_islamia (-0.80),confidence (-0.11),past_exams (-0.05),hadith_analysis (+0.09),aqida_understanding (+0.08),hadith_composite (+0.03),14.3,13.506395059390654
8,overall_islamia (-2.89),grade_t2 (-0.04),reasoning_from_verses (-0.03),avg_grade (+0.19),past_exams (+0.10),hadith_analysis (+0.03),12.5,11.909534111178012
9,overall_islamia (-0.38),document_analysis (-0.04),structured_answer (-0.04),past_exams (+0.05),grade_t2 (+0.05),aqida_understanding (+0.05),14.5,14.236844872147866
10,overall_islamia (-6.58),grade_trend (-0.15),avg_grade (-0.11),tafsir_understanding (+0.11),definition_accuracy (+0.03),quran_recitation (+0.03),6.8,7.337000000000001
11,overall_islamia (-0.37),avg_grade (-0.09),grade_t2 (-0.07),past_exams (+0.05),hadith_comprehension (+0.04),fiqh_composite (+0.03),13.8,13.788682709451383
12,overall_islamia (-6.42),aqida_understanding (-0.11),avg_grade (-0.10),fiqh_muamalat (+0.02),moral_extraction (+0.01),riba_understanding (+0.01),9.2,7.339000000000002
13,overall_islamia (-0.67),structured_answer (-0.07),avg_grade (-0.05),aqida_understanding (+0.08),analysis_composite (+0.06),hadith_text_analysis (+0.06),13.9,13.73536926414272
14,overall_islamia (-1.33),avg_grade (-0.05),proofs_awareness (-0.04),aqida_understanding (+0.04),fiqh_composite (+0.03),fiqh_ibadah (+0.02),10.0,12.953727585503339
15,overall_islamia (-1.34),fiqh_ibadah (-0.11),past_exams (-0.07),fiqh_composite (+0.03),aqida_understanding (+0.02),confidence (+0.02),10.9,12.84779305499766
16,overall_islamia (-0.96),reasoning_from_verses (-0.13),confidence (-0.08),grade_trend (+0.07),riba_understanding (+0.06),aqida_understanding (+0.06),13.9,13.318687690223728
17,overall_islamia (-1.50),structured_answer (-0.05),evidence_usage (-0.03),grade_t2 (+0.05),hadith_text_analysis (+0.04),past_exams (+0.03),11.9,13.053715338484935
18,overall_islamia (-1.52),aqida_understanding (-0.23),avg_grade (-0.05),past_exams (+0.04),fiqh_ibadah (+0.02),methodology_composite (+0.02),13.6,12.584554353372049
19,overall_islamia (-6.31),grade_trend (-0.09),avg_grade (-0.07),tafsir_understanding (+0.09),grade_t1 (+0.07),quran_composite (+0.03),7.7,7.777000000000005
20,overall_islamia (-1.41),avg_grade (-0.06),practice_intensity (-0.05),aqida_understanding (+0.06),structured_answer (+0.02),confidence (+0.02),12.5,13.0127647088455
21,aqida_understanding (-0.09),grade_trend (-0.06),hadith_comprehension (-0.04),overall_islamia (+0.52),avg_grade (+0.08),grade_t1 (+0.08),15.1,15.350638744588753
22,overall_islamia (-1.51),structured_answer (-0.05),fiqh_muamalat (-0.02),aqida_understanding (+0.08),quran_composite (+0.08),practice_intensity (+0.03),14.1,13.27775063324027
23,overall_islamia (-0.39),avg_grade (-0.10),grade_t2 (-0.07),grade_trend (+0.05),past_exams (+0.04),proofs_awareness (+0.03),13.7,14.042268257994442
24,avg_grade (-0.16),grade_t2 (-0.10),document_analysis (-0.08),overall_islamia (+0.20),past_exams (+0.09),aqida_understanding (+0.05),14.5,14.276979120879115
25,avg_grade (-0.17),grade_t2 (-0.11),document_analysis (-0.08),overall_islamia (+0.24),proofs_awareness (+0.08),structured_answer (+0.04),14.2,14.470950487962323
26,fiqh_ibadah (-0.05),past_exams (-0.04),grade_trend (-0.03),overall_islamia (+2.84),structured_answer (+0.14),avg_grade (+0.13),14.7,17.980752380952385
27,aqida_understanding (-0.09),proofs_awareness (-0.03),reasoning_from_verses (-0.02),overall_islamia (+0.73),structured_answer (+0.17),grade_t2 (+0.08),15.0,15.687238650238655
