student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,legal_skills_composite (-0.48),company_law (-0.22),legal_reasoning (-0.16),droit_grade_t2 (+0.21),droit_avg_grade (+0.09),droit_grade_t3 (+0.09),12.7,13.156953420979237
1,definition_recall (-0.05),justification (-0.03),imbalance_score (-0.02),company_law (+0.54),legal_skills_composite (+0.53),droit_grade_t3 (+0.18),18.6,15.725198828818522
2,company_law (-0.31),droit_avg_grade (-0.13),study_quality (-0.10),legal_skills_composite (+0.57),legal_reasoning (+0.07),practice_intensity (+0.05),15.1,13.638528948717422
3,droit_avg_grade (-0.18),law_anxiety (-0.06),study_hours (-0.06),legal_skills_composite (+2.46),labor_law_individual (+0.64),labor_law_composite (+0.32),16.9,17.313883333333326
4,droit_avg_grade (-0.50),company_law (-0.29),droit_grade_t3 (-0.19),legal_skills_composite (+0.43),public_finance (+0.06),legal_reasoning (+0.05),13.6,12.99308245916259
5,droit_avg_grade (-0.36),company_law (-0.30),practice_intensity (-0.20),legal_skills_composite (+0.47),legal_reasoning (+0.08),labor_law_individual (+0.07),11.9,12.966238018261926
6,legal_skills_composite (-0.94),droit_avg_grade (-0.35),labor_law_composite (-0.28),labor_law_individual (+0.15),public_finance (+0.09),study_quality (+0.08),12.4,12.281076437617978
7,legal_reasoning (-0.26),company_law (-0.26),practice_intensity (-0.21),labor_law_composite (+0.11),public_finance (+0.08),droit_grade_t1 (+0.05),13.1,13.015099101816615
8,droit_avg_grade (-0.15),labor_law_individual (-0.13),company_law (-0.11),legal_skills_composite (+2.08),legal_reasoning (+0.11),definition_recall (+0.11),17.6,15.746209426982816
9,legal_skills_composite (-2.95),droit_avg_grade (-0.67),droit_grade_t2 (-0.34),public_finance (+0.47),imbalance_score (+0.15),practice_intensity (+0.09),6.6,8.756053571428577
10,legal_skills_composite (-0.67),droit_avg_grade (-0.43),droit_grade_t3 (-0.26),labor_law_composite (+0.11),practice_intensity (+0.10),labor_law_individual (+0.09),12.4,12.247761385918002
11,legal_skills_composite (-0.49),public_finance (-0.07),reasoning_confidence (-0.05),labor_law_composite (+0.16),droit_grade_t3 (+0.11),droit_grade_t2 (+0.10),13.3,13.710484036581795
12,legal_skills_composite (-0.72),droit_avg_grade (-0.27),company_law (-0.23),labor_law_composite (+0.17),practice_intensity (+0.06),labor_law_collective (+0.05),10.2,12.35169757449551
13,droit_avg_grade (-0.36),droit_grade_t3 (-0.13),practice_intensity (-0.06),legal_skills_composite (+0.56),definition_recall (+0.27),company_law (+0.13),13.1,14.21509294481138
14,legal_skills_composite (-0.68),labor_law_individual (-0.41),company_law (-0.34),droit_grade_t2 (+0.20),droit_avg_grade (+0.10),qualification (+0.09),13.5,12.741772674974662
15,practice_intensity (-0.31),qualification (-0.09),case_exercises (-0.04),legal_skills_composite (+2.42),droit_avg_grade (+1.01),labor_law_individual (+0.38),19.8,18.206499999999995
16,legal_skills_composite (-0.74),company_law (-0.23),droit_avg_grade (-0.19),labor_law_individual (+0.42),labor_law_composite (+0.10),practice_intensity (+0.09),15.6,12.924336492224693
17,study_quality (-0.17),public_finance (-0.11),study_hours (-0.06),legal_skills_composite (+1.89),labor_law_individual (+0.59),company_law (+0.35),14.8,17.054037373737373
18,droit_avg_grade (-0.58),company_law (-0.17),labor_law_individual (-0.16),legal_skills_composite (+2.17),study_quality (+0.11),qualification (+0.07),11.8,14.626551194720312
19,droit_avg_grade (-0.69),droit_grade_t1 (-0.18),droit_grade_t2 (-0.15),legal_skills_composite (+1.87),company_law (+0.31),labor_law_composite (+0.13),13.8,14.878822844827585
20,legal_skills_composite (-0.29),labor_law_composite (-0.28),labor_law_individual (-0.25),droit_avg_grade (+0.71),droit_grade_t2 (+0.21),droit_grade_t3 (+0.18),12.8,13.954583498113557
