student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,preparation_score (-0.04),critical_reasoning (-0.02),practice_score (-0.01),avg_grade (+2.55),global_skills_score (+0.06),comprehension_score (+0.05),15.8,16.061969444444443
1,critical_reasoning (-0.01),filiere (-0.01),essays_per_week (-0.01),avg_grade (+2.72),grade_t3 (+0.06),communicative_intent (+0.05),16.9,16.40264999999999
2,essays_per_week (-0.03),inference (-0.00),lexical_analysis (-0.00),avg_grade (+4.23),grade_t3 (+0.16),argumentation_score_derived (+0.07),19.0,18.18200000000001
3,avg_grade (-0.59),grade_t3 (-0.06),comprehension_score (-0.05),preparation_score (+0.04),grade_t2 (+0.02),thesis_identification (+0.02),12.6,12.347215750915748
4,avg_grade (-0.70),argumentation_score_derived (-0.05),grade_t3 (-0.05),argumentative_text (+0.02),text_type_score (+0.02),grade_t2 (+0.01),11.7,12.223876388888886
5,filiere (-0.01),texts_analyzed_per_week (-0.01),lexical_analysis (-0.00),avg_grade (+1.82),comprehension_score (+0.08),argumentation_score (+0.07),15.4,15.460318253968255
6,text_type_score (-0.05),historical_text (-0.05),comprehension_score (-0.04),avg_grade (+0.73),grade_t3 (+0.05),writing_score (+0.03),14.0,13.799759370199697
7,preparation_score (-0.04),critical_reasoning (-0.01),practice_score (-0.01),avg_grade (+2.65),grade_t3 (+0.18),global_skills_score (+0.04),15.9,16.228555555555563
8,comprehension_score (-0.05),essay_structure (-0.04),true_false_justification (-0.03),avg_grade (+0.57),global_skills_score (+0.08),grade_t3 (+0.05),14.0,13.876872068612396
9,avg_grade (-1.92),grade_t3 (-0.04),argumentation_score_derived (-0.02),argumentative_text (+0.08),text_type_score (+0.05),argumentation_score (+0.05),11.3,11.406502525252527
10,argumentation_score_derived (-0.06),argumentation_score (-0.02),global_skills_score (-0.02),avg_grade (+1.48),grade_t3 (+0.06),true_false_justification (+0.04),14.3,14.773169841269844
11,argumentation_score_derived (-0.06),essay_structure (-0.04),global_skills_score (-0.04),grade_t3 (+0.08),avg_grade (+0.03),argumentative_text (+0.03),13.5,13.167700000000004
12,avg_grade (-2.35),grade_t3 (-0.08),comprehension_score (-0.06),preparation_score (+0.02),essays_per_week (+0.00),concession_opposition (+0.00),10.2,10.360555742520292
13,avg_grade (-1.44),argumentation_score_derived (-0.05),communicative_intent (-0.04),argumentative_text (+0.04),thesis_identification (+0.01),essay_structure (+0.01),11.2,11.494666017316018
14,grade_t1 (-0.01),argument_identification (-0.01),historical_text (-0.01),avg_grade (+0.61),grade_t3 (+0.05),comprehension_score (+0.03),13.7,13.934051780477585
15,historical_text (-0.04),thesis_identification (-0.02),preparation_score (-0.02),avg_grade (+1.56),comprehension_score (+0.09),argumentation_score (+0.06),14.7,15.117453216374274
16,concession_opposition (-0.02),historical_text (-0.02),text_type_score_derived (-0.01),avg_grade (+2.54),global_skills_score (+0.04),comprehension_score (+0.04),15.0,15.863624999999999
17,avg_grade (-1.99),grade_t3 (-0.05),argumentation_score_derived (-0.03),argumentative_text (+0.09),communicative_intent (+0.02),comprehension_score (+0.01),11.0,11.074412889398182
18,historical_text (-0.05),comprehension_score (-0.03),essay_structure (-0.02),avg_grade (+1.60),global_skills_score (+0.05),grade_t3 (+0.05),15.3,14.933809523809519
19,avg_grade (-0.59),grade_t3 (-0.07),global_skills_score (-0.04),argumentation_score_derived (+0.04),writing_score (+0.03),comprehension_score (+0.03),12.7,12.659565476190478
20,comprehension_score (-0.04),global_skills_score (-0.03),concession_opposition (-0.03),avg_grade (+0.66),grade_t3 (+0.05),argumentative_text (+0.02),13.1,13.752732625797153
21,essays_per_week (-0.01),comprehension_textuelle (-0.01),essay_structure (-0.01),avg_grade (+2.85),writing_score (+0.05),text_type_score (+0.05),17.4,16.554194444444434
22,comprehension_score (-0.07),text_type_score (-0.06),text_type_score_derived (-0.03),avg_grade (+0.65),grade_t3 (+0.05),essay_structure (+0.03),14.2,13.657855476781291
23,avg_grade (-0.52),grade_t3 (-0.06),argumentation_score (-0.05),global_skills_score (+0.09),writing_score (+0.04),argumentation_score_derived (+0.04),12.4,12.700636111111114
24,avg_grade (-1.53),argumentation_score_derived (-0.03),inference (-0.02),argumentative_text (+0.06),text_type_score (+0.06),communicative_intent (+0.04),12.3,11.785375000000002
25,avg_grade (-0.60),global_skills_score (-0.04),preparation_score (-0.03),argumentation_score_derived (+0.06),argumentation_score (+0.04),writing_score (+0.03),12.9,12.654355952380957
26,avg_grade (-0.32),thesis_identification (-0.08),argumentation_score (-0.07),global_skills_score (+0.09),writing_score (+0.05),writing_score_derived (+0.04),12.6,12.766150000000003
27,argument_identification (-0.01),stress (-0.01),imbalance_score (-0.00),avg_grade (+1.67),comprehension_score (+0.09),global_skills_score (+0.07),15.7,15.363651587301597
28,avg_grade (-2.11),grade_t3 (-0.08),argumentation_score_derived (-0.02),argumentation_score (+0.06),language_accuracy (+0.02),historical_text (+0.02),10.7,11.061554112554115
29,preparation_score (-0.03),filiere (-0.01),texts_analyzed_per_week (-0.01),avg_grade (+0.99),comprehension_score (+0.09),global_skills_score (+0.08),15.0,14.604654605263153
30,comprehension_score (-0.06),argumentation_score (-0.04),argumentation_score_derived (-0.03),avg_grade (+0.71),grade_t3 (+0.05),preparation_score (+0.02),14.0,13.740247402597404
31,avg_grade (-2.33),grade_t3 (-0.09),text_type_score (-0.03),communicative_intent (+0.02),argumentation_score (+0.01),concession_opposition (+0.01),10.1,10.522144919524921
32,global_skills_score (-0.04),argumentation_score_derived (-0.03),essay_structure (-0.02),avg_grade (+0.76),grade_t3 (+0.05),comprehension_score (+0.05),14.0,14.033079914529921
33,avg_grade (-0.30),global_skills_score (-0.04),grade_t3 (-0.02),argumentation_score_derived (+0.03),text_type_score (+0.03),argumentation_score (+0.03),13.8,13.023629166666668
34,historical_text (-0.04),argumentation_score (-0.03),comprehension_score (-0.03),avg_grade (+1.37),grade_t3 (+0.05),preparation_score (+0.02),14.5,14.493285714285712
35,avg_grade (-0.49),comprehension_score (-0.08),argumentation_score_derived (-0.06),argumentative_text (+0.02),grade_t2 (+0.01),essays_per_week (+0.01),12.2,12.240515476190481
36,grade_t1 (-0.02),communicative_intent (-0.02),psycho_score (-0.01),avg_grade (+0.79),global_skills_score (+0.07),comprehension_score (+0.07),14.3,14.32498455581157
37,historical_text (-0.02),preparation_score (-0.01),argument_identification (-0.01),avg_grade (+0.86),global_skills_score (+0.04),comprehension_score (+0.04),13.4,14.174022457169315
38,preparation_score (-0.03),texts_analyzed_per_week (-0.01),bac_exams_practiced (-0.01),avg_grade (+3.03),comprehension_score (+0.08),communicative_intent (+0.08),16.7,16.875999999999998
39,avg_grade (-2.21),comprehension_score (-0.06),grade_t3 (-0.05),concession_opposition (+0.02),filiere (+0.02),global_skills_score (+0.02),10.5,10.645556470722266
40,avg_grade (-2.15),grade_t3 (-0.08),text_type_score (-0.03),communicative_intent (+0.02),historical_text (+0.01),concession_opposition (+0.01),10.2,10.7800165030068
