student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,grade_t2 (-0.05),coherence_score (-0.01),grade_t3 (-0.01),overall_proficiency (+3.32),reading_score_derived (+0.73),language_score_derived (+0.11),17.0,17.441999999999997
1,guided_writing (-0.02),tense_control (-0.01),coherence_score (-0.01),overall_proficiency (+3.28),reading_score_derived (+0.71),language_score_derived (+0.11),17.3,17.415666666666663
2,guided_writing (-0.02),reading_frequency (-0.02),coherence_score (-0.01),overall_proficiency (+4.19),reading_score_derived (+0.80),language_score_derived (+0.20),19.0,18.50700000000001
3,overall_proficiency (-1.42),reading_score_derived (-0.40),argumentation_skill (-0.05),study_hours (+0.02),skimming_scanning (+0.02),consistency (+0.01),10.9,11.04452380952381
4,reading_score_derived (-0.31),overall_proficiency (-0.22),cohesion_score (-0.05),grade_t1 (+0.06),inference_skill (+0.03),argumentation_skill (+0.02),12.9,12.500897549019603
5,writing_score_derived (-0.00),writing_frequency (-0.00),grade_t1 (-0.00),overall_proficiency (+2.20),reading_score_derived (+0.66),language_score_derived (+0.10),17.0,16.29930555555556
6,overall_proficiency (-0.06),reading_frequency (-0.02),cohesion_score (-0.02),reading_score_derived (+0.37),transformation_skill (+0.05),study_efficiency (+0.04),14.6,13.367246640640058
7,confidence (-0.03),imbalance_score_derived (-0.02),coherence_score (-0.01),overall_proficiency (+2.27),reading_score_derived (+0.63),language_score_derived (+0.10),16.1,16.043068376068376
8,main_idea_detection (-0.04),study_efficiency (-0.03),transformation_skill (-0.01),overall_proficiency (+0.80),reading_score_derived (+0.41),argumentation_skill (+0.05),14.5,14.25772977994228
9,overall_proficiency (-0.54),reading_score_derived (-0.30),cohesion_score (-0.05),skimming_scanning (+0.02),inference_skill (+0.02),practice_intensity_derived (+0.02),13.0,12.123843525102343
10,essay_structure (-0.02),vocabulary_score (-0.02),main_idea_detection (-0.02),overall_proficiency (+0.90),reading_score_derived (+0.45),argumentation_skill (+0.07),15.3,14.44066486291487
11,overall_proficiency (-0.30),language_score_derived (-0.06),essay_structure (-0.03),reading_score_derived (+0.41),skimming_scanning (+0.02),antonym_accuracy (+0.02),12.9,13.030329112554112
12,overall_proficiency (-2.49),reading_score_derived (-0.76),language_score_derived (-0.05),study_efficiency (+0.03),ordering_information (+0.02),imbalance_score_derived (+0.01),8.7,9.595
